,european_identity,eu_migrants,noneu_migrants,socialclass,life_satisfaction,national_econ,job_situation,attachment_country,rightwing,age,gender
87,3.0,1.0,0.0,4,3,3.0,4.0,2.0,4.0,29,1
88,2.0,1.0,1.0,3,3,3.0,3.0,3.0,3.0,42,0
89,1.0,0.0,0.0,3,3,2.0,2.0,3.0,3.0,63,0
90,2.0,0.0,0.0,2,2,3.0,3.0,4.0,4.0,43,0
91,2.0,0.0,0.0,3,2,2.0,2.0,2.0,3.0,70,0
92,1.0,1.0,0.0,1,3,2.0,3.0,3.0,2.0,26,0
93,1.0,0.0,0.0,3,4,2.0,3.0,2.0,4.0,48,1
94,1.0,1.0,1.0,3,3,3.0,3.0,4.0,4.0,45,1
95,1.0,0.0,0.0,1,2,3.0,2.0,1.0,5.0,56,0
96,3.0,0.0,0.0,2,3,3.0,2.0,1.0,4.0,60,1
97,2.0,0.0,0.0,3,3,3.0,3.0,1.0,3.0,52,1
98,1.0,1.0,1.0,3,3,3.0,3.0,3.0,1.0,18,0
99,1.0,0.0,0.0,1,3,2.0,2.0,3.0,4.0,33,0
100,1.0,1.0,0.0,1,2,2.0,1.0,3.0,5.0,47,1
101,3.0,1.0,0.0,3,4,3.0,3.0,1.0,4.0,64,1
102,2.0,0.0,0.0,3,3,3.0,3.0,3.0,3.0,74,0
103,1.0,0.0,0.0,1,2,2.0,2.0,2.0,4.0,55,1
104,3.0,1.0,1.0,2,3,1.0,3.0,3.0,1.0,23,1
105,1.0,1.0,0.0,4,3,2.0,3.0,3.0,4.0,29,1
107,3.0,1.0,0.0,1,3,2.0,3.0,3.0,2.0,65,1
109,3.0,1.0,1.0,3,3,3.0,4.0,4.0,1.0,32,0
110,2.0,1.0,0.0,3,3,3.0,3.0,3.0,3.0,73,0
111,2.0,0.0,0.0,1,3,1.0,3.0,4.0,1.0,39,0
112,2.0,1.0,1.0,3,3,2.0,3.0,3.0,2.0,49,0
113,2.0,1.0,0.0,2,3,2.0,2.0,3.0,3.0,44,0
114,2.0,1.0,0.0,1,3,2.0,3.0,4.0,3.0,52,0
115,3.0,1.0,1.0,3,3,3.0,2.0,4.0,2.0,28,0
116,2.0,1.0,0.0,3,3,3.0,3.0,4.0,4.0,71,0
117,1.0,1.0,0.0,2,3,4.0,2.0,2.0,4.0,47,0
118,2.0,1.0,1.0,3,3,3.0,3.0,3.0,2.0,65,1
119,2.0,1.0,1.0,1,1,3.0,3.0,3.0,1.0,68,1
120,2.0,1.0,1.0,3,3,3.0,3.0,3.0,3.0,52,1
